node_id,node_type,lat,lng,first_open_year,serves_route,is_merged,merged_with,country,city,pop_2026,pop_bracket
RELAY_2028_0,RELAY_HUB,55.34879074054887,15.962485281986499,2028,CAND_DE_koeln__METRO_EE_tallinn; CAND_DE_koeln__METRO_FI_helsinki; CAND_DE_koeln__METRO_FI_espoo; CAND_DE_koeln__METRO_FI_vantaa; CAND_DE_koeln__NONMETRO_EE,False,,,,,
RELAY_2028_1,RELAY_HUB,55.91675,15.0293,2028,CAND_DE_koeln__METRO_FI_tampere; CAND_DE_koeln__METRO_FI_turku; CAND_PL_lodz__METRO_NO_oslo,False,,,,,
RELAY_2028_2,RELAY_HUB,53.893529269950974,16.00846264376515,2028,CAND_DE_koeln__METRO_LV_riga; CAND_DE_koeln__NONMETRO_LV,False,,,,,
RELAY_2028_3,RELAY_HUB,52.93737219379003,15.61432342798385,2028,CAND_DE_koeln__METRO_LT_vilnius; CAND_DE_koeln__METRO_LT_kaunas; CAND_DE_koeln__NONMETRO_LT,False,,,,,
RELAY_2028_4,RELAY_HUB,53.4289,14.553,2028,CAND_DE_koeln__METRO_LT_klaipeda,True,METRO_PL_szczecin,,,,
RELAY_2028_5,RELAY_HUB,55.423,8.84805,2028,CAND_DE_koeln__METRO_NO_oslo,False,,,,,
RELAY_2028_6,RELAY_HUB,55.66315,6.137075,2028,CAND_DE_koeln__METRO_NO_bergen,False,,,,,
RELAY_2028_7,RELAY_HUB,51.0509,13.7383,2028,CAND_DE_koeln__METRO_PL_warsaw; CAND_DE_koeln__METRO_PL_lublin; CAND_DE_koeln__METRO_PL_radom; CAND_DE_koeln__METRO_PL_mokotow; CAND_DE_koeln__METRO_PL_kielce; CAND_DE_koeln__METRO_PL_praga_poludnie,True,METRO_DE_dresden,,,,
RELAY_2028_8,RELAY_HUB,50.8357,12.9292,2028,CAND_DE_koeln__METRO_PL_krakow; CAND_PL_lodz__METRO_DE_freiburg; CAND_PL_lodz__METRO_DE_saarbruecken; CAND_PL_lodz__METRO_LU_luxembourg; CAND_PL_lodz__NONMETRO_LU,True,METRO_DE_chemnitz,,,,
RELAY_2028_9,RELAY_HUB,52.0333,15.05715,2028,CAND_DE_koeln__METRO_PL_bialystok,False,,,,,
RELAY_2028_10,RELAY_HUB,52.4772,13.4313,2028,CAND_DE_koeln__METRO_PL_olsztyn,True,METRO_DE_neukoelln,,,,
RELAY_2028_11,RELAY_HUB,55.6759,12.5655,2028,CAND_DE_koeln__METRO_SE_stockholm,True,METRO_DK_copenhagen,,,,
RELAY_2028_12,RELAY_HUB,57.7973210421048,17.3385399094014,2028,CAND_DE_koeln__NONMETRO_FI,False,,,,,
RELAY_2028_13,RELAY_HUB,57.9218674439045,9.968242606808051,2028,CAND_DE_koeln__NONMETRO_NO,False,,,,,
RELAY_2028_14,RELAY_HUB,56.1567,10.2108,2028,CAND_DE_koeln__NONMETRO_SE,True,METRO_DK_arhus,,,,
RELAY_2028_15,RELAY_HUB,51.4816,11.9795,2028,CAND_PL_lodz__METRO_BE_brussels; CAND_PL_lodz__METRO_BE_antwerp; CAND_PL_lodz__METRO_BE_liege; CAND_PL_lodz__METRO_BE_gent; CAND_PL_lodz__METRO_BE_charleroi; CAND_PL_lodz__METRO_DE_aachen; CAND_PL_lodz__METRO_NL_rotterdam; CAND_PL_lodz__METRO_NL_the_hague; CAND_PL_lodz__METRO_NL_utrecht; CAND_PL_lodz__METRO_NL_eindhoven; CAND_PL_lodz__METRO_NL_tilburg; CAND_PL_lodz__METRO_NL_breda; CAND_PL_lodz__NONMETRO_BE; CAND_PL_lodz__NONMETRO_NL,True,METRO_DE_halle_saale,,,,
RELAY_2028_16,RELAY_HUB,52.1277,11.6292,2028,CAND_PL_lodz__METRO_NL_amsterdam; CAND_PL_lodz__METRO_NL_almere_stad,True,METRO_DE_magdeburg,,,,
RELAY_2028_17,RELAY_HUB,55.7089,21.1431,2028,CAND_PL_lodz__METRO_FI_helsinki; CAND_PL_lodz__METRO_FI_espoo; CAND_PL_lodz__METRO_FI_vantaa,True,METRO_LT_klaipeda,,,,
